Latin name,Trophic Level,Medium,Taxonomic kingdom,Taxonomic phylum or division,Taxonomic subphylum,Taxonomic superclass,Taxonomic class,Taxonomic order,Taxonomic family
Morone saxatilis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Moronidae
Oncorhynchus mykiss,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Trachinotus carolinus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Carangidae
Daphnia magna,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Pimephales promelas,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Corbicula fluminea,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Corbiculidae
Ictalurus punctatus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Ictaluridae
Chanos chanos,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Gonorhynchiformes,Chanidae
Tilapia nilotica,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Cichlidae
Oreochromis niloticus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Cichlidae
Roccus saxatilis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Moronidae
Lepomis macrochirus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Centrarchidae
Penaeus duorarum,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Penaeidae
Uca pugilator,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Ocypodidae
Menidia menidia,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Atheriniformes,Atherinidae
Salvelinus namaycush,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Micropterus dolomieu,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Centrarchidae
Micropterus salmoides,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Centrarchidae
Lepomis cyanellus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Centrarchidae
Salmo salar,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Ictalurus melas,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Ictaluridae
Desmodesmus subspicatus,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Scenedesmaceae
Ulva pertusa,ALGAE,Saltwater,Plantae,Chlorophyta,,,Chlorophyceae,Ulotrichales,Ulvaceae
Raphidocelis subcapitata,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Scenedesmaceae
